,0
0,a
1,as
2,o
3,os
4,um
5,algo
6,alguém
7,algum
8,ambas
9,ambos
10,cada
11,certo
12,mais
13,menos
14,muito
15,muito
16,nada
17,nenhum
18,ninguém
19,os
20,outrem
21,outro
22,pouco
23,quaisquer
24,qualquer
25,quanto
26,quem
27,se
28,tanto
29,todo
30,tudo
31,um
32,meu
33,minha
34,nosso
35,seu
36,sua
37,teu
38,tua
39,vosso
40,etc
41,vs
42,abaixo
43,acerca
44,acerrimamente
45,acima
46,acolá
47,acusticamente
48,ademais
49,adentro
50,adiante
51,adonde
52,adrede
53,afinal
54,afora
55,agora
56,agorinha
57,aí
58,ainda
59,além
60,além-fronteiras
61,alerta
62,algebricamente
63,algo
64,algures
65,aliás
66,ali
67,aluadamente
68,amanhã
69,amarguradamente
70,amiúde
71,analogicamente
72,antanho
73,ante-à-ré
74,antecipadamente
75,anteontem
76,antes
77,antigamente
78,aonde
79,apenas
80,aproximadamente
81,aquecimento
82,aquém
83,aquém-fronteiras
84,aquém-mar
85,aqui
86,arrevesadamente
87,asinha
88,assim-assim
89,assim
90,atrás
91,através
92,avante
93,baixinho
94,bastante
95,bel-prazer
96,bem
97,bué
98,cá
99,caro
100,cedo
101,centuplicadamente
102,cerca
103,civilmente
104,compassadamente
105,compenetradamente
106,concertadamente
107,confiadamente
108,consideravelmente
109,dantes
110,debaixo
111,debalde
112,decerto
113,decididamente
114,defronte
115,deliberadamente
116,dentro
117,depois
118,depressa
119,desafogadamente
120,desaforadamente
121,desalmadamente
122,desassombradamente
123,desatentadamente
124,desavisadamente
125,descuradamente
126,desenfreadamente
127,desgraçadamente
128,designadamente
129,desmesuradamente
130,despejadamente
131,despercebidamente
132,destemperadamente
133,detidamente
134,detrás
135,devagar
136,devagarinho
137,deveras
138,devidamente
139,diante
140,discriminadamente
141,dissimuladamente
142,doravante
143,duplicadamente
144,eis
145,embora
146,encarecidamente
147,enfim
148,entanto
149,então
150,entranhadamente
151,entrementes
152,entretanto
153,envaidecidamente
154,espaçadamente
155,espevitadamente
156,estateladamente
157,estoicamente
158,estupidamente
159,exceto
160,exclusive
161,explicitamente
162,extemporaneamente
163,extenuadamente
164,extramuros
165,extremamente
166,facilmente
167,figuradamente
168,filosoficamente
169,fisicamente
170,folgadamente
171,fora
172,forçadamente
173,frivolamente
174,fundo
175,galhardamente
176,graduadamente
177,grátis
178,habilmente
179,heroicamente
180,hierarquicamente
181,hipocritamente
182,hoje
183,honradamente
184,identicamente
185,idolatradamente
186,ignobilmente
187,ilegitimamente
188,ilicitamente
189,impavidamente
190,impiamente
191,implicitamente
192,improficuamente
193,impropriamente
194,incestuosamente
195,incivilmente
196,inclusive
197,incognitamente
198,indeterminadamente
199,indissoluvelmente
200,inequivocamente
201,infortunadamente
202,ingenuamente
203,iniquamente
204,insipidamente
205,instantaneamente
206,intervaladamente
207,intimamente
208,intramuros
209,intrepidamente
210,intrinsecamente
211,inutilmente
212,irmãmente
213,irrefletidamente
214,irritamente
215,isoladamente
216,já
217,jamais
218,juridicamente
219,lá
220,legitimamente
221,lexicalmente
222,livremente
223,logo
224,louvavelmente
225,lubricamente
226,luzidamente
227,magnanimamente
228,mais
229,mal
230,malissimamente
231,massivamente
232,maximamente
233,medicamente
234,mediocremente
235,meditadamente
236,melhor
237,menos
238,merecidamente
239,mesuradamente
240,minimamente
241,minusculamente
242,miseramente
243,miseravelmente
244,miudamente
245,momentaneamente
246,monotonamente
247,mormente
248,mui
249,muito
250,multiplamente
251,mutuamente
252,nada
253,não
254,nenhures
255,nesciamente
256,nicles
257,nitidamente
258,nomeadamente
259,noutrora
260,nunca
261,obcecadamente
262,obliquamente
263,obviamente
264,onde
265,ontem
266,oticamente
267,organicamente
268,outrora
269,outrossim
270,pausadamente
271,perdidamente
272,perduravelmente
273,perfidamente
274,permeio
275,perpétuo
276,perpetuamente
277,perto
278,pesadamente
279,pessimamente
280,pifiamente
281,placidamente
282,polidamente
283,pormenorizadamente
284,porquê
285,porventura
286,postumamente
287,pouco
288,poucochinho
289,precipitadamente
290,premeditadamente
291,prestes
292,previamente
293,primeiro
294,pró
295,prodigamente
296,proficuamente
297,propriamente
298,provavelmente
299,proximamente
300,publicamente
301,quando
302,quanto
303,quão
304,quase
305,quer
306,quimicamente
307,rapidamente
308,recolhidamente
309,regaladamente
310,regiamente
311,regradamente
312,reiteradamente
313,repetidamente
314,reservadamente
315,retro
316,revezadamente
317,ritmicamente
318,sabiamente
319,salteadamente
320,semanticamente
321,sempre
322,sensitivamente
323,separadamente
324,sequer
325,seriamente
326,serodiamente
327,sim
328,só
329,sobremaneira
330,sobremodo
331,sobriamente
332,sofrivelmente
333,solapadamente
334,solidamente
335,somente
336,sonegadamente
337,subitamente
338,talvez
339,também
340,tampouco
341,tanto
342,tão
343,tão-pouco
344,tão-só
345,tão-somente
346,tarde
347,tecnicamente
348,timidamente
349,tipicamente
350,todavia
351,ultimamente
352,unanimemente
353,unicamente
354,univocamente
355,veladamente
356,vice-versa
357,ibidem
358,posteriori
359,priori
360,cujo
361,qual
362,quanto
363,que
364,quem
365,centésimo
366,ducentésimo
367,duodécimo
368,milésimo
369,milionésimo
370,nonagésimo
371,nono
372,octogésimo
373,oitavo
374,primeiro
375,quadragésimo
376,quarto
377,quinquagésimo
378,quinto
379,segundo
380,seiscentésimo
381,septuagésimo
382,sétimo
383,sexagésimo
384,sexto
385,terceiro
386,tricentésimo
387,trigésimo
388,vigésimo
389,à
390,ao
391,àquele
392,àquilo
393,às
394,comigo
395,connosco
396,consigo
397,contigo
398,convosco
399,daí
400,dalém
401,dalgo
402,dalguém
403,dalgum
404,dalgures
405,dali
406,daquele
407,daquém
408,daqui
409,daquilo
410,dele
411,dentre
412,desse
413,deste
414,disso
415,disto
416,do
417,donde
418,doutrem
419,doutro
420,doutrora
421,dum
422,essoutro
423,estoutro
424,lho
425,mo
426,nalgum
427,naquele
428,naqueloutro
429,naquilo
430,nele
431,nesse
432,neste
433,nisso
434,nisto
435,no
436,noutro
437,num
438,pelo
439,to
440,a
441,as
442,ele
443,eu
444,lhe
445,lo
446,me
447,migo
448,mim
449,nos
450,nós
451,o
452,os
453,se
454,si
455,te
456,ti
457,tu
458,você
459,vos
460,vós
461,vosmecê
462,vossemecê
463,quanto
464,quê
465,a
466,afora
467,ante
468,apesar
469,após
470,até
471,com
472,contra
473,de
474,desde
475,durante
476,em
477,entre
478,mediante
479,para
480,perante
481,per
482,por
483,segundo
484,sem
485,sob
486,sobre
487,trás
488,versus
489,catorze
490,cem
491,cinco
492,cinquenta
493,dezanove
494,dezasseis
495,dezassete
496,dez
497,dezoito
498,dobro
499,dois
500,doze
501,duas
502,duzentos
503,mil
504,milhão
505,milhar
506,nove
507,novecentos
508,noventa
509,oitenta
510,oito
511,oitocentos
512,onze
513,quádruplo
514,quarenta
515,quatorze
516,quatro
517,quatrocentos
518,quinhentos
519,quinze
520,seis
521,seiscentos
522,séptuplo
523,sétuplo
524,sessenta
525,sete
526,setecentos
527,setenta
528,sexagésima
529,sêxtuplo
530,três
531,treze
532,trezentos
533,trilião
534,trinta
535,um
536,vinte
537,i
538,ii
539,iii
540,iv
541,v
542,vi
543,vii
544,viii
545,ix
546,x
547,xi
548,xii
549,xiii
550,xiv
551,xv
552,xvi
553,xvii
554,xviii
555,xix
556,xx
557,xxx
558,se
559,aquele
560,aquilo
561,esse
562,este
563,idem
564,isso
565,isto
566,tal
